iter	Logloss
0	0.6875770545
1	0.6828059977
2	0.6772687528
3	0.6725977724
4	0.6685271581
5	0.6645912025
6	0.6603633865
7	0.6569596838
8	0.6540010016
9	0.651074541
10	0.648341556
11	0.647159988
12	0.644509295
13	0.6426354207
14	0.6404202234
15	0.6387294911
16	0.6367973454
17	0.6350961252
18	0.6340336328
19	0.632413753
20	0.6313941045
21	0.630119637
22	0.6284095363
23	0.6264997348
24	0.6249981712
25	0.6237335889
26	0.622319089
27	0.6209754675
28	0.6198041917
29	0.6187775762
30	0.6168899516
31	0.6154005454
32	0.6150263328
33	0.6138449014
34	0.6130033933
35	0.611703953
36	0.6107701283
37	0.6096691551
38	0.6090869588
39	0.6084968379
40	0.6072304571
41	0.6063457802
42	0.6053978198
43	0.6046494968
44	0.6045320989
45	0.6035883674
46	0.6026939657
47	0.6021421305
48	0.6014651112
49	0.6010308982
50	0.6005762379
51	0.5999975582
52	0.5995380299
53	0.5991234441
54	0.5986192133
55	0.5979079804
56	0.5976065884
57	0.5968336404
58	0.5961412241
59	0.5957979535
60	0.5948577627
61	0.5943275928
62	0.594007723
63	0.5934999169
64	0.592919218
65	0.5928046265
66	0.5922947724
67	0.5917114058
68	0.5903631397
69	0.5893810474
70	0.5889328355
71	0.5878495454
72	0.5873743733
73	0.5867813592
74	0.5867354174
75	0.5862216906
76	0.5860160592
77	0.5852966098
78	0.5849471158
79	0.5845127146
80	0.5840403105
81	0.5838048146
82	0.5835371004
83	0.5834822565
84	0.5833501037
85	0.5830325488
86	0.5821621082
87	0.5818076711
88	0.5809589337
89	0.5801486749
90	0.5795746099
91	0.5789070839
92	0.578517889
93	0.5781957394
94	0.5781747182
95	0.5778353595
96	0.5773212382
97	0.5767691129
98	0.5766831662
99	0.5764038327
100	0.5759096444
101	0.575756503
102	0.575203414
103	0.5749426446
104	0.574701826
105	0.5742353678
106	0.5738521044
107	0.573629608
108	0.5731898649
109	0.5727841869
110	0.5725527896
111	0.5723725321
112	0.5717540388
113	0.5711093861
114	0.5708807285
115	0.5702392011
116	0.5696985571
117	0.5689966229
118	0.5684720448
119	0.5682824582
120	0.5682486874
121	0.5680152605
122	0.5678010068
123	0.5676107342
124	0.5671666566
125	0.5671110013
126	0.5670823082
127	0.5667140578
128	0.5666127752
129	0.5664217916
130	0.5657450179
131	0.565527565
132	0.5655275645
133	0.5647867137
134	0.5644101375
135	0.5641709365
136	0.5637457018
137	0.5634955255
138	0.5631307977
139	0.5628876712
140	0.5628804534
141	0.562245115
142	0.5616469122
143	0.5612274654
144	0.5609887891
145	0.5601312432
146	0.5600447051
147	0.5594687593
148	0.5587084019
149	0.558300045
150	0.5580949569
151	0.5580724344
152	0.5574245979
153	0.5570752776
154	0.556377176
155	0.5557883874
156	0.5557391992
157	0.5553008579
158	0.5550701914
159	0.5546566504
160	0.5544288309
161	0.5541734492
162	0.5539478568
163	0.55366794
164	0.5534634385
165	0.5532080139
166	0.5528367506
167	0.5524127561
168	0.5521334924
169	0.5521027502
170	0.5516896412
171	0.5509636655
172	0.5507503874
173	0.5503125997
174	0.5497978556
175	0.5496340764
176	0.5491521897
177	0.5485766116
