iter	Passed	Remaining
0	229	364121
1	399	316285
2	581	306618
3	909	359578
4	1202	380069
5	1458	383772
6	1715	386753
7	1878	370211
8	2104	368567
9	2345	369388
10	2561	366592
11	2673	350430
12	2989	361504
13	3109	348944
14	3242	339377
15	3376	331097
16	3595	331638
17	3805	331278
18	3925	323544
19	4130	323204
20	4354	324327
21	4609	327498
22	4884	331697
23	5160	335666
24	5348	333766
25	5543	332383
26	5685	328049
27	5829	324146
28	5952	319395
29	6070	314670
30	6227	312187
31	6394	310312
32	6475	304560
33	6604	301271
34	6755	299156
35	6919	297745
36	7078	296145
37	7245	294952
38	7410	293750
39	7617	294210
40	7803	293886
41	7963	292563
42	8124	291354
43	8281	290044
44	8332	285149
45	8438	282338
46	8552	279856
47	8652	277065
48	8763	274723
49	8859	271971
50	8954	269336
51	9052	266875
52	9151	264539
53	9263	262641
54	9361	260427
55	9456	258182
56	9563	256377
57	9711	255669
58	9820	253999
59	9922	252200
60	10022	250400
61	10122	248648
62	10219	246895
63	10324	245378
64	10471	244871
65	10570	243275
66	10671	241780
67	10767	240217
68	10869	238808
69	10970	237440
70	11085	236395
71	11181	234971
72	11314	234347
73	11432	233445
74	11485	231237
75	11583	229993
76	11679	228735
77	11771	227423
78	11862	226138
79	11958	224972
80	12051	223780
81	12146	222630
82	12239	221497
83	12294	219698
84	12395	218740
85	12514	218135
86	12605	217045
87	12708	216189
88	12830	215660
89	12942	214992
90	13078	214721
91	13239	214850
92	13427	215424
93	13570	215250
94	13669	214389
95	13860	214988
96	14026	215162
97	14194	215374
98	14329	215087
99	14482	215059
100	14648	215234
101	14824	215531
102	15008	215942
103	15167	215987
104	15315	215870
105	15503	216311
106	15673	216495
107	15852	216792
108	16053	217391
109	16238	217743
110	16374	217439
111	16506	217091
112	16677	217254
113	16972	219003
114	17329	221516
115	17497	221588
116	17844	223900
117	18071	224666
118	18228	224564
119	18547	226433
120	18646	225610
121	18812	225601
122	18964	225419
123	19144	225562
124	19315	225609
125	19401	224653
126	19461	223426
127	19620	223336
128	19822	223738
129	19971	223529
130	20121	223338
131	20273	223162
132	20313	221772
133	20459	221542
134	20609	221362
135	20754	221130
136	20932	221243
137	21125	221516
138	21312	221707
139	21458	221486
140	21537	220571
141	21766	221193
142	21987	221725
143	22211	222272
144	22365	222108
145	22513	221893
146	22622	221297
147	22804	221418
148	22964	221326
149	23125	221231
150	23317	221437
151	23410	220709
152	23600	220891
153	23790	221066
154	23990	221333
155	24197	221655
156	24309	221110
157	24538	221620
158	24723	221732
159	24843	221265
160	24950	220684
161	25085	220351
162	25197	219817
163	25298	219199
164	25400	218596
165	25503	218006
166	25603	217398
167	25710	216854
168	25823	216366
169	25877	215391
170	25969	214741
171	26103	214439
172	26211	213934
173	26357	213734
174	26451	213127
175	26549	212543
176	26655	212038
177	26748	211433
